id|idFipe|Marca|placa|categ(pop(0)/pre(1)/lux(2))|estoq(1)/alug(0)|
1|003506-8|1|PPK00I20|1|1|
2|003507-6|1|PPK10I20|1|1|
5|003490-9|1|PPK40I20|2|1|
6|023189-4|2|PPK50I20|2|1|
7|023181-9|2|PPK60I20|2|1|
8|023174-6|2|PPK70I20|0|1|
9|005517-4|3|PPK80I20|2|1|
10|005526-3|3|PPK90J20|0|1|
11|005534-4|3|PPK00J10|0|1|
12|005544-1|3|PPK10J10|1|1|
13|029154-4|4|PPK20J10|2|1|
14|029158-7|4|PPK30J10|2|1|
15|029162-5|4|PPK40J10|1|1|
16|029160-9|4|PPK50J10|1|1|
17|002112-1|5|PPK60J10|1|1|
18|002173-3|5|PPK70J10|0|1|
19|002169-5|5|PPK80J10|0|1|
20|002209-8|5|PPK90K10|2|1|
24|003506-8|1|SEMPLACA|1|1|
28|003478-9|1|SEMPLACA|2|1|
21|005534-4|3|SEMPLACA|0|1|
23|003507-6|1|SEMPLACA|1|1|
27|002209-8|5|SEMPLACA|2|1|
